Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
Total Cohort,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2003,5,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2004,55,37,67.3,17,30.9,45.9,0,0,0,17,30.9,45.9,20,36.4,54.1,15,27.3,3,5.5
Total Cohort,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2005,64,43,67.2,27,42.2,62.8,0,0,0,27,42.2,62.8,16,25,37.200000000000003,9,14.1,9,14.1
Total Cohort,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2006,78,43,55.1,36,46.2,83.7,0,0,0,36,46.2,83.7,7,9,16.3,16,20.5,11,14.1
Total Cohort,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2006 Aug,78,44,56.4,37,47.4,84.1,0,0,0,37,47.4,84.1,7,9,15.9,15,19.2,11,14.1
Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,64,46,71.900000000000006,32,50,69.599999999999994,7,10.9,15.2,25,39.1,54.3,14,21.9,30.4,10,15.6,6,9.4
Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,52,33,63.5,19,36.5,57.6,8,15.4,24.2,11,21.2,33.299999999999997,14,26.9,42.4,16,30.8,1,1.9
Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,87,67,77,39,44.8,58.2,11,12.6,16.399999999999999,28,32.200000000000003,41.8,28,32.200000000000003,41.8,9,10.3,11,12.6
Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,112,75,67,36,32.1,48,6,5.4,8,30,26.8,40,39,34.799999999999997,52,33,29.5,4,3.6
Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,121,64,52.9,35,28.9,54.7,4,3.3,6.3,31,25.6,48.4,29,24,45.3,41,33.9,11,9.1
Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,124,53,42.7,42,33.9,79.2,8,6.5,15.1,34,27.4,64.2,11,8.9,20.8,46,37.1,20,16.100000000000001
Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006 Aug,124,60,48.4,42,33.9,70,8,6.5,13.3,34,27.4,56.7,18,14.5,30,39,31.5,20,16.100000000000001
Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2001,61,41,67.2,40,65.599999999999994,97.6,0,0,0,40,65.599999999999994,97.6,1,1.6,2.4,7,11.5,12,19.7
Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2002,72,45,62.5,45,62.5,100,0,0,0,45,62.5,100,0,0,0,18,25,7,9.699999999999999
Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2003,79,49,62,44,55.7,89.8,0,0,0,44,55.7,89.8,5,6.3,10.199999999999999,20,25.3,10,12.7
Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2004,80,58,72.5,48,60,82.8,0,0,0,48,60,82.8,10,12.5,17.2,13,16.3,9,11.3
Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2005,85,61,71.8,58,68.2,95.1,0,0,0,58,68.2,95.1,3,3.5,4.9,11,12.9,9,10.6
Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2006,90,70,77.8,67,74.400000000000006,95.7,0,0,0,67,74.400000000000006,95.7,3,3.3,4.3,15,16.7,5,5.6
Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2006 Aug,90,71,78.900000000000006,68,75.599999999999994,95.8,0,0,0,68,75.599999999999994,95.8,3,3.3,4.2,14,15.6,5,5.6
Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2001,69,34,49.3,6,8.699999999999999,17.600000000000001,0,0,0,6,8.699999999999999,17.600000000000001,28,40.6,82.4,19,27.5,10,14.5
Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2002,55,22,40,11,20,50,4,7.3,18.2,7,12.7,31.8,11,20,50,18,32.700000000000003,11,20
Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2003,70,31,44.3,22,31.4,71,0,0,0,22,31.4,71,9,12.9,29,20,28.6,18,25.7
Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2004,65,29,44.6,13,20,44.8,3,4.6,10.3,10,15.4,34.5,16,24.6,55.2,27,41.5,8,12.3
Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2005,88,49,55.7,38,43.2,77.599999999999994,18,20.5,36.700000000000003,20,22.7,40.799999999999997,11,12.5,22.4,20,22.7,14,15.9
Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2006,84,47,56,40,47.6,85.1,17,20.2,36.200000000000003,23,27.4,48.9,7,8.300000000000001,14.9,25,29.8,5,6
Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2006 Aug,84,50,59.5,41,48.8,82,18,21.4,36,23,27.4,46,9,10.7,18,22,26.2,5,6
Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2001,166,88,53,36,21.7,40.9,0,0,0,36,21.7,40.9,53,31.9,60.2,45,27.1,30,18.100000000000001
Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2002,172,77,44.8,53,30.8,68.8,0,0,0,53,30.8,68.8,24,14,31.2,67,39,28,16.3
Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2003,205,86,42,71,34.6,82.6,48,23.4,55.8,23,11.2,26.7,15,7.3,17.399999999999999,80,39,39,19
Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2004,200,97,48.5,74,37,76.3,60,30,61.9,14,7,14.4,23,11.5,23.7,78,39,25,12.5
Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2005,154,70,45.5,56,36.4,80,45,29.2,64.3,11,7.1,15.7,14,9.1,20,64,41.6,20,13
