dbn,school_name,borough,building_code,phone_number,fax_number,grade_span_min,grade_span_max,expgrade_span_min,expgrade_span_max,bus,subway,primary_address_line_1,city,state_code,postcode,website,total_students,campus_name,school_type,overview_paragraph,program_highlights,language_classes,advancedplacement_courses,online_ap_courses,online_language_courses,extracurricular_activities,psal_sports_boys,psal_sports_girls,psal_sports_coed,school_sports,partner_cbo,partner_hospital,partner_highered,partner_cultural,partner_nonprofit,partner_corporate,partner_financial,partner_other,addtl_info1,addtl_info2,start_time,end_time,se_services,ell_programs,school_accessibility_description,number_programs,priority01,priority02,priority03,priority04,priority05,priority06,priority07,priority08,priority09,priority10,Location 1,Community Board,Council District,Census Tract,BIN,BBL,NTA
27Q260,Frederick Douglass Academy VI High School,Queens,Q465,718-471-2154,718-471-2890,9,12,,,"Q113, Q22",A to Beach 25th St-Wavecrest,8-21 Bay 25 Street,Far Rockaway,NY,11691,http://schools.nyc.gov/schoolportals/27/Q260,412,Far Rockaway Educational Campus,,"Frederick Douglass Academy (FDA) VI High School is a high school built on Dr. Lorraine Monroe’s vision of academic and personal excellence for all students. The emphasis on college preparation is supported by a challenging academic program and cultural enrichment. A set of core rules visible at every Frederick Douglass Academy signals the seriousness of purpose for the school, its students and teachers. All students must adhere to a code of student conduct, the Scholar’s Creed and a strict uniform code. Students are also required to participate in extensive after-school academic enrichment programs.","Advisory, Graphic Arts Design, Teaching Internship; College tours: citywide for freshmen, statewide for sophomores and out-of-state for juniors; National and international educational trips",Spanish,"Calculus AB, English Language and Composition, English Literature and Composition, United States History","Biology, Physics B","French, Spanish","After-school Program, Book, Writing, Homework Help, Honor Society, Journalism, Lunch & Learn, PSAT and SAT Prep, Saturday Program, Step Team, Student Government, Summer Institute, Video, Tech, Yearbook, Computer Graphics, Robotics, Cheerleading","Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball","Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball",,"Step Team, Modern Dance, Hip Hop Dance",,"Jamaica Hospital Medical Center, Peninsula Hospital Center","York College, Brooklyn College, St. John's College",,"Queens District Attorney, Sports and Arts Foundation, CMS","Replications, Inc.",Citibank,New York Road Runners Foundation (NYRRF),"Uniform Required: plain white collared shirt, black pants/skirt, FDA tie/FDA scarf, black shoes","Extended Day Program, Student Summer Orientation, Summer Internship Program offered, Weekend Program offered",7:45 AM,2:05 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Queens students or residents,Then to New York City residents,,,,,,,"8 21 Bay 25 Street
Far Rockaway, NY 11691
(40.601989336, -73.762834323)",14,31,100802,4300730,4157360001,Far Rockaway-Bayswater                                                     
21K559,Life Academy High School for Film and Music,Brooklyn,K400,718-333-7750,718-333-7775,9,12,,,"B1, B3, B4, B6, B64, B82",D to 25th Ave ; N to Ave U ; N to Gravesend - 86th St,2630 Benson Avenue,Brooklyn,NY,11214,http://schools.nyc.gov/schoolportals/21/K559,260,Lafayette Educational Campus,,"At Life Academy High School for Film and Music, we infuse the study of film, the art of filmmaking, audio production and new media into engaging, student-centered and project-based courses. We focus on building communication skills in writing, presentation and creativity. Our Advisory program helps each student develop personal relationships and positive citizenship. We seek students who want to learn in an exciting atmosphere of excellence and creative collaboration.","College Now, iLEARN courses, Art and Film Production courses including film, set design, audio production, cinematography, animation, storyboarding art",Spanish,,"Biology, English Literature and Composition, European History, United States History, World History",,"Film, Music, Talent Show, Holiday Concert, Student Council, After school tutoring in content areas, iLEARN courses, and other programs of student interest based on grant funding.","Basketball, Bowling, Indoor Track, Soccer, Softball, Volleyball","Basketball, Bowling, Indoor Track, Soccer, Softball, Volleyball",Cricket,,Coney Island Generation Gap,,"City Tech, Kingsborough Early College Secondary School, City University of New Jersey","Museum of the Moving Image, New York Public Library",Institute for Student Achievement,"Film Life, Inc., SONY Wonder Tech",,,Our school requires completion of a Common Core Learning Standards Skills Portfolio for Assessment in every class,,8:15 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,,"2630 Benson Avenue
Brooklyn, NY 11214
(40.593593811, -73.984729232)",13,47,306,3186454,3068830001,Gravesend                                                                  
16K393,Frederick Douglass Academy IV Secondary School,Brooklyn,K026,718-574-2820,718-574-2821,9,12,,,"B15, B38, B46, B47, B52, B54, Q24","J to Kosciusko St ; M, Z to Myrtle Ave",1014 Lafayette Avenue,Brooklyn,NY,11221,http://schools.nyc.gov/schoolportals/16/K393,155,N/A,,"The Frederick Douglass Academy IV (FDA IV) Secondary School is a place of scholarship. Our students are considered scholars. We create an atmosphere of order, civility, maturity and seriousness of purpose. A set of core rules referred to as the ‘twelve non-negotiables’ establish and maintain this environment. Scholars at the Frederick Douglas Academy IV Secondary School are instilled with a Scholar’s Creed, adapted from the Morehouse College Students’ Creed, that reinforces the school’s cohesive culture, underscores its high expectations and builds the scholars’ sense of pride in their school and themselves.","College Now with Medgar Evers College, Fresh Prep Core, Science, Technology, Engineering & Mathematics (STEM) Robotics with New York City College of Technology, Dance4Peace","French, Spanish","English Language and Composition, United States History",French Language and Culture,,"After-school and Saturday Programs, Art Studio Group, Book, Cheerleading Team, Chess Team, Dance, Dance Ensemble, Homework Help, Lunch and Learn, Peer Mediation, Music, PSAT/SAT Prep, Scholars Government Association (SGA), Step Team, Summer Institute, Achieving Change in our Neighborhood (Teen Action), Violin, String Instruments, CHAMPS, School Leadership Team, Financial Literacy, Yoga, Anti-Bullying, Violence Prevention, Yearbook",,,,Basketball Team,"Achieving Change in our Neighborhood (Teen ACTION) St.Nicks Alliance, New York City College of Technology – STEM Robotics, Fresh Prep and New York Hall of Science",,Medgar Evers College,Noel Pointer School of Music,"Hip-Hop 4 Life, Urban Arts, and St. Nicks Alliance",,,,"Dress Code Required: solid white shirt/blouse, navy blue blazer, gray pants/skirt, navy blue tie/scarf, black dress shoes, Participation in our 2-day FDA IV Prep Institute (Orientation) is required for incoming students, Extended Day Program","Student Summer Orientation, Weekend Program offered",8:00 AM,2:20 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to continuing 8th graders,Then to Brooklyn students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Brooklyn students or residents,Then to New York City residents,,,,,,"1014 Lafayette Avenue
Brooklyn, NY 11221
(40.692133704, -73.931503172)",3,36,291,3393805,3016160001,Stuyvesant Heights                                                         
08X305,Pablo Neruda Academy,Bronx,X450,718-824-1682,718-824-1663,9,12,,,"Bx22, Bx27, Bx36, Bx39, Bx5",N/A,1980 Lafayette Avenue,Bronx,NY,10473,www.pablonerudaacademy.org,335,Adlai E. Stevenson Educational Campus,,"Our mission is to engage, inspire, and educate our students so that they develop skills to succeed in college and beyond. Our students work in small groups, guided by skilled and caring teachers, to solve challenging problems. Each student is well-known by staff members, and is assigned an advisor who works closely with them each week to monitor their progress. We celebrate successes and students are recognized for their accomplishments.","Advanced Placement courses, Electives courses including: Art & Design, Criminal Justice, Entrepreneurship, Careers & Internships, and Advanced Art; Student Learning Communities, Internship Opportunities, Individualized Student Programming, Credit-bearing Online Courses (iLearn) and After-school Enrichment Classes; College Now & JumpStart (Credit-bearing College Courses)",Spanish,"Art History, English Language and Composition, English Literature and Composition, United States Government and Politics",,Spanish,"Youth Court, Student Government, Youth Service, Youth Service Leaders, Art, Graffiti Mural, Yearbook, Homework Help & Tutoring Services, Regents Prep, Saturday Academy, Senior Committee, Video Game, Yoga, Dance, Digital Media, Book, Chess, Soccer, Softball, Basketball Intramurals, National Honor Society","Basketball, Outdoor Track, Softball, Tennis, Volleyball","Basketball, Outdoor Track, Softball, Tennis, Volleyball",,"Baseball, Basketball, Flag Football, Soccer, Softball, Volleyball",,"Soundview Health Center, Bronx Lebanon Hospital Center, Montefiore Medical Center","Hostos Community College, Monroe College, Lehman College","Chilean Consulate, Materials for the Arts","Network for Teaching Entrepreneurship (NFTE), BISCEP (The Leadership Program), New York Cares, Institute for Student Achievement (ISA), PENCIL",,,iLearnNYC,"All students are individually programmed (based on academic needs), Incoming 9th grade students attend our Summer Orientation Session, All students are assigned to a small Student Learning Community that meets twice a week, College preparation begins in 9th grade and continues through 12th grade; this preparation includes College Trips (in-state, out-of-state, trade schools), College Fairs, College Workshops",Extended Day Program,8:00 AM,3:50 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents,Then to New York City residents,,,,,,,"1980 Lafayette Avenue
Bronx, NY 10473
(40.822303765, -73.85596139)",9,18,16,2022205,2036040039,Soundview-Castle Hill-Clason Point-Harding Park                            
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Manhattan,M485,212-496-0700,212-724-5748,9,12,,,"M10, M104, M11, M20, M31, M5, M57, M66, M7, M72","1 to 66th St - Lincoln Center ; 2, 3 to 72nd St ; A, B, C, D to 59th St-Columbus Circle",100 Amsterdam Avenue,New York,NY,10023,www.laguardiahs.org,2730,N/A,Specialized School,"We enjoy an international reputation as the first and foremost high school dedicated to nurturing students gifted in the arts. Our mission is to provide an opportunity for students to pursue both a rigorous conservatory-style training and a challenging academic program. Our building features world-class facilities including a concert hall; art, dance, music, recording and theater studios, science and computer labs, and an art gallery. Almost all of our graduates continue their studies, gaining admission to highly selective schools. Our graduates have distinguished themselves in virtually every field, including the arts and sciences, medicine, law, business, education and public service.","Students have a daily program that includes both a multi-period conservatory studio block and a full college preparatory academic course load. The studio majors are: Dance, Drama, Fine Arts, Instrumental Music, Technical Theater and Vocal Music. Each studio has a four-year sequence of courses and opportunities for students to participate in performances and exhibitions. Students completing the applicable NYC Studio Comprehensive exam receive a special endorsement on their diploma. Honors courses are offered in all academic areas starting in the freshman year, leading to a full complement of Advanced Placement courses.","French, Italian, Japanese, Spanish","Art History, Biology, Calculus AB, Calculus BC, Chemistry, Comparative Government and Politics, English Language and Composition, English Literature and Composition, Environmental Science, European History, French Language and Culture, Italian Language and Culture, Japanese Language and Culture, Music Theory, Physics B, Psychology, Spanish Language and Culture, Statistics, Studio Art: 2-D Design, Studio Art: 3-D Design, Studio Art: Drawing, United States Government and Politics, United States History, World History",,Spanish,"Amnesty International, Anime, Annual Musical, Arista, Art Exhibits, ASPIRA, Black Student Union, Chinese Student Association, Claymazing, Comic Book, Cult Classics, Dance Programs, DaVinci Scholars Program, Debate Team, Disney VoluntEars, Drama Festivals, Environmental, Fashion, Film, Future Voters of America, Gay/Straight Alliance, Girls Learn International, Habitat for Humanity, Harry Potter, Independent Film, Jewish Union, Literary Magazine, Math Team, Mock Trial, Moot Court, Murals, National Honor Society, National Language Honors Society, Newspaper, Orchestral and Vocal Concerts, Random Acts of Kindness, Red Cross, Relay For Life, School Leadership Team (SLT), Science Outreach League, Shamisen, Social Action, Splashes of Hope, Student Government Organization, Ukulele For Good, Yearbook","Basketball, Bowling, Cross Country, Fencing, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball","Basketball, Bowling, Cross Country, Fencing, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,,Lincoln Center for the Performing Arts,Mount Sinai Medical Center,"The Cooper Union for the Advancement of Science and Art, Skidmore College, Sophie Davis School of Biomedical Education, New York University School of Medicine","Lincoln Center for the Performing Arts, American Ballet Theater, Carnegie Hall, New York Philharmonic, Drama Desk, Metropolitan Opera, Interschool Orchestras of New York, New York Youth Symphony","Junior Achievement, Red Cross, United Nations Association, American Cancer Society","Sony Music, Warner Music Group, Capital Cities ABC, The Walt Disney Company",,,Chancellor’s Arts Endorsed Diploma,,8:00 AM,4:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,6,Open to New York City residents,Admission is based on the outcome of a competitive audition and review of the student’s record,Students must audition for each program (studio) to which they are applying,Students must be residents of New York City at the time of audition,,,,,,,"100 Amsterdam Avenue
New York, NY 10023
(40.773670507, -73.985268558)",7,6,151,1030341,1011560030,Lincoln Square                                                             
02M305,"Urban Assembly Academy of Government and Law, The",Manhattan,M445,212-505-0745,212-674-8021,9,12,,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9","B, D to Grand St ; F, J, M, Z to Delancey St-Essex St",350 Grand Street,New York,NY,10002,www.uaagl.org,326,Seward Park Educational Campus,,"The Urban Assembly Academy of Government and Law (AGL) prepares students from diverse backgrounds and academic abilities to be lifelong learners. AGL meets students’ academic, social and emotional needs with a challenging curriculum and enriching extracurricular opportunities. As a government-and-law-themed school, AGL provides students with the skills to be ready for college and beyond, encourages civic engagement and develops leaders in the community.","Students take courses such as Law & Ethics, Forensics and Public Speaking in addition to courses that prepare them for a Regents or Advanced Regents Diploma. All 9th graders attend a Mandatory Extended Day Program 3 days a week that includes academic support and extracurricular clubs. 11th grade students have access to free SAT Prep courses during the school day. Advanced students can take Advanced Placement (AP) courses and College Now courses to earn college credit.",Spanish,"English Literature and Composition, Microeconomics, Spanish Language and Culture, United States History",,,"Student Government, Art, Basketball, Cheerleading, Soccer, Music, Weight Room, Law Team, Freaks and Geeks, Senior Committee, Mentoring, Soccer, Tutoring","Basketball, Bowling, Tennis, Volleyball","Basketball, Bowling, Tennis, Volleyball",,"AGL Intramural Basketball, Soccer, Cheerleading","Henry Street Settlement, Peer Health Exchange, Generation Citizen, My School-My Community",,"New York University Law School, NYU Wagner School for Public Policy, Borough of Manhattan Community College",Abrons Art Center (provides drama instruction),The Urban Assembly,Jones Day Law Firm,,,"Uniform Required: blue polo shirt with school logo, khaki or gray pants; uniforms are available for sale at the school, Accepted students are expected to attend a New Student Orientation session in June, All students are expected to participate in Extracurricular Activities and Regents Prep/Tutoring",Extended Day Program Requirement,8:32 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to Districts 1 and 2 students or residents who attend an information session,Then to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Districts 1 and 2 students or residents,Then to Manhattan students or residents,Then to New York City residents,,,,,"350 Grand Street
New York, NY 10002
(40.716867224, -73.989531943)",3,1,18,1005283,1004080030,Chinatown                                                                  
11X509,High School of Language and Innovation,Bronx,X415,718-944-3625,718-944-3641,9,12,,,"Bx12, Bx12-SBS, Bx26, Bx39, Bx8","2, 5 to Pelham Parkway",925 Astor Avenue,Bronx,NY,10469,www.languagehs.schoolwires.net,255,Christopher Columbus Educational Campus,,"High School of Language and Innovation seeks students who have big ideas, enjoy working in teams and love learning languages. In fact, in our school you will hear an array of languages including, but not limited to: Spanish, Arabic, Urdu, Bengali, French, Albanian, Russian and Wolof. Students learn self-discipline, responsibility and respect in every class. Students learn to speak up, challenge each other and research and study at a college level.","Creative Friday Afternoons: Visual Arts, Fashion Design, Sculpture, Piano, Guitar, Chorus, African Dance, Hip-Hop, Yoga, Tae Kwon Do; Electives: Korean, Russian, Academic Intensive, Journalism. 70-minute periods; Every student moves through the curriculum at their own pace. Classrooms are resource-rich. Everyone takes both writing classes and reading classes, Unison Reading; 1:1 student-teacher conferencing in every class.","Chinese, Korean, Russian",Calculus AB,,,"Student Council, School Leadership Team, Tae Kwon Do, Student Opportunity Series, PSAL sports teams, Frequent Office Hours held by teachers in all departments.","Basketball, Bowling, Cross Country, Golf, Gymnastics, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Softball & JV Softball, Tennis, Volleyball","Basketball, Bowling, Cross Country, Golf, Gymnastics, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Softball & JV Softball, Tennis, Volleyball",Golf,"Cheerleading, Teams: Dance, Step","Bronx Arts Ensemble, Korea Tae Kwon Do",,Fordham University,,,,,,Classes are 70 minutes,,8:25 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Bronx students or residents who are of limited English proficiency and have lived in the United States fewer than four years,Then to New York City residents who are of limited English proficiency and have lived in the United States for fewer than four years,,,,,,,,,"925 Astor Avenue
Bronx, NY 10469
(40.859698316, -73.860741404)",11,13,324,2050179,2043580001,Bronxdale                                                                  
17K122,Pathways in Technology Early College High School (P-Tech),Brooklyn,K625,718-221-1593,718-221-1781,9,12,9,14,"B15, B25, B26, B43, B44, B45, B46, B65",3 to Kingston Ave ; A to Utica Ave ; C to Kingston-Throop,150 Albany Avenue,Brooklyn,NY,11213,www.ptechnyc.org,330,Paul Robeson Educational Campus,NYC P-Tech 9-14 School,"At Pathways in Technology Early College High School (P-TECH), students drawn to future careers in information technology (IT), computers, engineering, math and science receive individualized support in preparing for and securing an entry-level position in the highly competitive IT industry. As a founding partner of the school, IBM (and other corporations) will provide all students with internship and training opportunities exposing them to real-world technology careers. In addition, P-TECH students are able to earn an Associate degree or up to two years of college credit from CUNY's New York City College of Technology – at no cost – while still in high school.","Internships, Mentorship Program, Early College Experience, Courses in Computer Systems and Information Technology, Small Advisory groups led by faculty mentor, Science, Technology, Engineering and Mathematics (STEM), Academic and Career Planning starting in the 9th grade, Saturday Academy featuring PSAT/SAT prep, Project-based STEM workshops; As we expand, we expect to offer AP classes; Language classes to be determined",,,,,"National Honor Society, National Society of Black Engineers, Society of Hispanic Professional Engineers","Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track","Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track",,"Cheerleading, Step Team",,,,,,,,,"Tutoring offered, Saturday Academy, Extended Year Program, Summer Orientation for Incoming Freshmen",Extended Day Program,8:15 AM,4:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Brooklyn students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Brooklyn students or residents,Then to New York City residents,,,,,,,"150 Albany Avenue
Brooklyn, NY 11213
(40.675402307, -73.938881176)",8,36,311,3030553,3012160046,Crown Heights North                                                        
08X348,Schuylerville Preparatory High School,Bronx,X405,718-904-4200,718-935-4209,9,11,9,12,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",6 to Westchester Sq - East Tremont Ave,3000 East Tremont Avenue,Bronx,NY,10461,http://schools.nyc.gov/schoolportals/08/X348,95,Herbert H. Lehman Educational Campus,,"At Schuylerville Preparatory High School, our aspiration is to graduate disciplined individuals with integrity. Our students leave school with the goal of continuing their education in the service of others and contributing to the common good. Our approach is to take our students through increasingly rigorous phases of learning. In addition to developing our students into college-ready thinkers, our Dream Real Advisory is dedicated to the development of students' professional interests. We assign students to Success Development Coaches who help to identify concrete steps that students must take to realize their interests. This personalized approach supports our students with mentorships, internships and college level courses.","Classical Education Model, Classics-based Curriculum, Dream Real Advisory Program, Success Development Plans, Success Coaches, Projects-based Learning, Socratic Seminar, Etymology Study for SAT, College and Career Counseling, Youth Leadership and Character Development, Test Prep and Academic Support, Local, National and International Travel, Mentorships, Internships, Apprenticeships, Work-Study, Family Partnership Program","Latin, Spanish Native Language Arts",,,,"National Honor Society, Mock Trial, Debate, Chess, Book, Service Society, Health and Fitness, Model UN, Photography, Poetry /Spoken Word, Lyricist Lounge, Student Government, Students Helping Students, Yearbook, Siemens Society for Math, Science and Technology","Basketball, Bowling, Cross Country, Lacrosse, Soccer, Tennis, Volleyball","Basketball, Bowling, Cross Country, Lacrosse, Soccer, Tennis, Volleyball",,"Intramural Boys & Girls Basketball, Developmental Baseball, Developmental Softball",,,,,,,,,"Uniform Required: Boys: black, navy blue or khaki pants, white long or short sleeved button down shirt with collar or school polo, red or blue tie, black or brown dress shoes; Girls: black, navy blue or khaki pants or skirt, long or short sleeve white button down shirt with collar, black or brown shoes, Students are required to attend a 2-3 day Freshman  Summer Orientation prior to starting 9th grade in  September., Our grading is aligned to the university 4.0 model",,8:00 AM,3:40 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents,Then to New York City residents,,,,,,,"3000 East Tremont Avenue
Bronx, NY 10461
(40.840513977, -73.83812096)",10,13,194,2074045,2053680001,Schuylerville-Throgs Neck-Edgewater Park                                   
24Q236,International High School for Health Sciences,Queens,Q455,718-595-8600,718-595-8605,9,11,9,12,"Q29, Q38, Q53, Q58, Q59, Q60, Q72, Q88","M, R to Grand Ave - Newtown",48-01 90 Street,Elmhurst,NY,11373,http://ihshealthsciences.org,50,Newtown Educational Campus,International School,"The International High School for Health Sciences offers limited-English speaking students who are new to the country an opportunity to develop skills necessary to pursue college and careers in medicine. Classes focus learning on reading, writing, and communicating fluently in English while also providing opportunities to maintain students' native languages. We use real-world learning by giving our students experiences in local healthcare settings before they graduate. Students gain practical skills including CPR and first aid, explore careers through 11th grade internships at local medical centers, and take early college coursework with our university partners. These hands-on opportunities both provide a context for language acquisition and allow students to use their native language as an asset in their service to the community.","Extended class periods, Small class sizes, Project-based instruction, Emphasis on collaborative coursework, Medical career focus, Team setting, Advisory courses, Internships, Early College programs",,,,,"DNA Research Team, Astronomy, Anime","Basketball, Cross Country, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball & JV Volleyball","Basketball, Cross Country, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball & JV Volleyball",,,,Elmhurst Hospital,"College Now, Queens College and Kingsborough Community College",Theater Development Fund (TDF) Materials for the Arts (MFTA),Internationals Network for Public Schools (INPS) and National Academy Foundation (NAF),,,,"Gym uniform Required: Please contact the school for more  information., 60-Minute/Extended Periods",,8:30 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to Queens residents who have lived in the United States four years or fewer at the time of admission to high school and whose home language is not English and are English Language Learners as per New York City Department of Education guidelines,Then to New York City residents who have lived in the United States four years or fewer at the time of admission to high school and whose home language is not English and are English Language Learners as per New York City Department of Education guidelines,,,,,,,,,"48 01 90 Street
Elmhurst, NY 11373
(40.7412052, -73.874729884)",4,25,461,4045629,4018490001,Elmhurst                                                                   
