Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"53967","2019-06-17 17:50:59","1","31","<python><pandas>","1",""
"53969","2019-06-17 18:12:57","1","16","<predictive-modeling><data><random-forest><categorical-data><pca>","0",""
"53970","2019-06-17 19:23:13","1","431","<machine-learning><word-embeddings><convolution>","1",""
"53975","2019-06-17 22:22:13","2","2534","<graphs><matplotlib><jupyter><ipython>","1","2"
"53976","2019-06-17 23:01:35","0","240","<python><jupyter><ipython>","1",""
"53978","2019-06-18 00:12:22","1","738","<python><neural-network><nlp><text-mining><nltk>","2",""
"53979","2019-06-18 00:23:56","6","906","<neural-network><autoencoder>","2","2"
"53980","2019-06-18 01:53:49","0","20","<neural-network><cnn>","0",""
"53985","2019-06-18 05:07:54","1","44","<logistic-regression><orange><orange3>","0","0"
"53987","2019-06-18 06:37:06","0","14","<neural-network><natural-language-process><ngrams>","0",""
"53989","2019-06-18 06:53:20","0","27","<machine-learning><svm><active-learning>","0","1"
"53990","2019-06-18 06:57:15","0","29","<machine-learning><feature-selection><data-cleaning><correlation>","0",""
"53991","2019-06-18 06:59:37","1","176","<clustering>","1",""
"53995","2019-06-18 08:09:18","4","2424","<machine-learning><neural-network><deep-learning><feature-selection>","4","2"
"53996","2019-06-18 08:11:10","3","76","<deep-learning><multiclass-classification><text>","2",""
"53999","2019-06-18 08:38:56","2","47","<neural-network><deep-learning><convolution>","0","1"
"54004","2019-06-18 09:32:37","0","50","<classification><dataset><image-classification><object-detection>","1",""
"54005","2019-06-18 09:39:09","2","528","<machine-learning><neural-network><tensorflow><loss-function>","1",""
"54007","2019-06-18 09:46:59","5","1617","<deep-learning><pytorch>","1","0"
"54008","2019-06-18 10:36:27","4","1904","<python><cosine-distance><bert><matrix>","1",""
"54009","2019-06-18 11:12:16","0","77","<python><clustering><unsupervised-learning><weighted-data>","1","0"
"54011","2019-06-18 11:47:49","1","10","<machine-learning><python><image-classification><computer-vision><geospatial>","0",""
"54013","2019-06-18 12:03:29","0","28","<neural-network><cnn><computer-vision><image-recognition>","1",""
"54014","2019-06-18 12:39:05","0","373","<r><predictive-modeling><random-forest>","1",""
"54015","2019-06-18 12:47:57","0","93","<deep-learning><cnn><lstm><computer-vision><convolution>","0",""
"54018","2019-06-18 13:06:39","0","141","<machine-learning><scikit-learn><pandas><preprocessing><encoding>","0","0"
"54021","2019-06-18 13:22:16","-1","484","<clustering><k-means><anomaly-detection>","3","1"
"54022","2019-06-18 13:34:41","1","37","<machine-learning><svm><kernel>","0",""
"54023","2019-06-18 13:35:56","2","129","<reinforcement-learning><gradient-descent><backpropagation>","1",""
"54026","2019-06-18 15:07:01","2","355","<python><scikit-learn><regression><similarity>","2",""
"54029","2019-06-18 15:40:26","1","33","<python><scipy>","0",""
"54033","2019-06-18 17:36:11","2","255","<nlp><sentiment-analysis><tools><annotation>","1",""
"54034","2019-06-18 17:37:38","2","1272","<keras><tensorflow>","1",""
"54035","2019-06-18 17:41:48","1","1079","<powerbi>","1",""
"54037","2019-06-18 17:48:50","0","32","<python><word2vec><similarity><distance><embeddings>","0",""
"54038","2019-06-18 18:02:11","0","378","<data-mining><data-cleaning>","0","1"
"54039","2019-06-18 18:11:19","2","20","<linear-regression>","0",""
