id,customer_id,end_date,start_date,subscription_period,price
5,1337,2014-12-28 01:40:57,2014-10-25 12:39:18,monthly,50
28,1338,2014-11-19 01:48:05,2014-10-17 13:47:59,monthly,50
44,1339,2014-11-01 20:56:37,2014-10-30 05:50:54,annual,500
85,1340,2014-12-09 02:51:57,2013-12-05 14:51:57,annual,500
168,1341,2015-11-16 09:19:29,2014-11-13 20:19:23,annual,500
197,1342,2015-11-17 10:06:15,2014-11-14 22:06:00,annual,500
213,1343,2015-11-18 04:03:55,2014-11-15 16:03:55,annual,500
229,1344,2015-11-18 18:34:54,2014-11-16 06:04:26,annual,500
251,1345,2015-11-19 10:21:53,2014-11-16 22:21:38,annual,500
279,1346,2015-11-20 15:36:51,2014-11-18 02:37:41,annual,500
292,1347,2015-11-20 22:10:18,2014-11-18 10:10:04,annual,500
344,1348,2014-12-21 18:30:36,2014-11-19 06:00:24,monthly,50
356,1349,2014-12-21 21:34:29,2014-11-19 09:34:29,monthly,50
367,1350,2015-11-22 01:47:39,2014-11-19 13:18:11,annual,500
378,1351,2015-11-22 04:41:32,2014-11-19 16:11:28,annual,500
392,1352,2015-11-22 10:12:00,2014-11-19 21:42:25,annual,500
398,1353,2014-11-20 19:02:49,2014-11-19 23:03:37,annual,500
424,1354,2015-11-22 18:31:48,2014-11-20 06:02:06,annual,500
451,1355,2015-11-23 05:23:11,2014-11-20 17:23:11,annual,500
476,1356,2014-12-23 19:25:00,2014-11-21 07:25:00,monthly,50
501,1357,2014-12-24 11:33:04,2014-11-21 23:32:59,monthly,50
520,1358,2015-11-24 23:11:30,2014-11-22 10:11:26,annual,500
541,1359,2015-11-25 06:54:51,2014-11-22 18:24:22,annual,500
601,1360,2015-11-26 09:42:58,2014-11-23 21:42:43,annual,500
616,1361,2014-12-26 17:45:10,2014-11-24 05:44:55,monthly,50
634,1362,2015-11-27 05:40:40,2014-11-24 16:39:57,annual,500
651,1363,2014-12-27 15:54:27,2014-11-25 03:54:27,monthly,50
660,1364,2015-11-27 20:49:15,2014-11-25 07:49:37,annual,500
677,1365,2015-11-28 04:42:29,2014-11-25 16:12:39,annual,500
698,1366,2015-11-28 12:13:11,2014-11-26 00:12:55,annual,500
713,1367,2015-11-28 16:30:31,2014-11-26 04:00:03,annual,500
757,1368,2015-11-29 06:25:51,2014-11-26 18:25:50,annual,500
809,1369,2015-11-29 16:28:30,2014-11-27 03:58:50,annual,500
832,1370,2014-12-30 00:58:25,2014-11-27 12:28:42,monthly,50
856,1371,2015-11-30 05:56:07,2014-11-27 17:25:59,annual,500
889,1372,2015-02-06 10:16:42,2014-02-02 22:16:42,annual,500
48,1374,2015-03-02 18:26:47,2013-02-28 06:26:47,annual,500
53,1375,2014-12-03 00:49:49,2014-10-31 12:49:48,monthly,50
78,1377,2014-12-05 04:22:44,2014-11-02 16:22:44,monthly,50
104,1378,2014-12-10 09:45:13,2014-11-07 21:45:13,monthly,50
126,1379,2015-11-14 17:51:55,2014-11-12 04:51:26,annual,500
136,1380,2015-07-20 18:03:31,2014-07-18 06:03:31,annual,500
173,1382,2014-12-16 11:57:18,2014-11-13 23:57:04,monthly,50
184,1383,2014-12-06 17:32:52,2013-12-03 05:32:52,annual,500
215,1384,2014-12-18 05:39:48,2014-11-15 17:39:34,monthly,50
226,1385,2015-11-18 16:22:39,2014-11-16 03:52:37,annual,500
301,1387,2015-11-21 03:40:48,2014-11-18 15:40:47,annual,500
309,1388,2014-12-23 05:32:20,2014-09-20 16:31:12,monthly,50
340,1389,2014-11-19 05:09:55,2014-08-15 18:29:29,monthly,50
358,1390,2014-11-20 19:03:36,2014-11-19 09:40:54,annual,500
379,1391,2014-12-22 05:11:21,2014-11-19 16:41:50,monthly,50
