movie,year,metascore,imdb,tmeter,audience,fandango,n_metascore,n_imdb,n_tmeter,n_audience,nr_metascore,nr_imdb,nr_tmeter,nr_audience
10 Cloverfield Lane,2016,76,7.2,90,79,3.5,3.8,3.6,4.5,3.95,4,3.5,4.5,4
13 Hours,2016,48,7.3,50,83,4.5,2.4,3.65,2.5,4.15,2.5,3.5,2.5,4
A Cure for Wellness,2016,47,6.6,40,47,3,2.35,3.3,2,2.35,2.5,3.5,2,2.5
A Dog's Purpose,2017,43,5.2,33,76,4.5,2.15,2.6,1.65,3.8,2,2.5,1.5,4
A Hologram for the King,2016,58,6.1,70,57,3,2.9,3.05,3.5,2.85,3,3,3.5,3
A Monster Calls,2016,76,7.5,87,84,4,3.8,3.75,4.35,4.2,4,4,4.5,4
A Street Cat Named Bob,2016,54,7.4,77,79,4.5,2.7,3.7,3.85,3.95,2.5,3.5,4,4
Alice Through the Looking Glass,2016,34,6.2,30,50,4,1.7,3.1,1.5,2.5,1.5,3,1.5,2.5
Allied,2016,60,7.1,61,66,4,3,3.55,3.05,3.3,3,3.5,3,3.5
Amateur Night,2016,38,5,0,27,3.5,1.9,2.5,0,1.35,2,2.5,0,1.5
Anthropoid,2016,59,7.2,66,71,4,2.95,3.6,3.3,3.55,3,3.5,3.5,3.5
Approaching the Unknown,2016,53,4.8,45,16,3.5,2.65,2.4,2.25,0.8,2.5,2.5,2,1
Arrival,2016,81,8,94,82,4,4.05,4,4.7,4.1,4,4,4.5,4
Arsenal,2017,25,4,4,22,3.5,1.25,2,0.2,1.1,1,2,0,1
Assassin's Creed,2016,36,6.1,17,51,4,1.8,3.05,0.85,2.55,2,3,1,2.5
Bad Moms,2016,60,6.2,58,65,4.5,3,3.1,2.9,3.25,3,3,3,3
Bad Santa 2,2016,38,5.5,23,37,3.5,1.9,2.75,1.15,1.85,2,3,1,2
Barbershop: The Next Cut,2016,67,5.9,90,67,4.5,3.35,2.95,4.5,3.35,3.5,3,4.5,3.5
Batman V Superman: Dawn of Justice,2016,44,6.7,27,63,4,2.2,3.35,1.35,3.15,2,3.5,1.5,3
Beauty and the Beast,2017,65,7.8,70,86,4.5,3.25,3.9,3.5,4.3,3,4,3.5,4.5
Before I Fall,2017,58,6.5,66,65,3.5,2.9,3.25,3.3,3.25,3,3,3.5,3
Before the Flood,2016,63,8.4,71,77,3.5,3.15,4.2,3.55,3.85,3,4,3.5,4
Ben-Hur,2016,38,5.7,25,55,4,1.9,2.85,1.25,2.75,2,3,1,3
Bitter Harvest,2017,34,7.2,10,82,4.5,1.7,3.6,0.5,4.1,1.5,3.5,0.5,4
Blair Witch,2016,47,5.1,35,30,3,2.35,2.55,1.75,1.5,2.5,2.5,2,1.5
Bleed for This,2016,62,6.8,71,70,4,3.1,3.4,3.55,3.5,3,3.5,3.5,3.5
Blood Father,2016,66,6.4,89,63,4,3.3,3.2,4.45,3.15,3.5,3,4.5,3
Bridget Jones's Baby,2016,59,6.7,76,69,4,2.95,3.35,3.8,3.45,3,3.5,4,3.5
Busanhaeng,2016,72,7.5,96,88,4.5,3.6,3.75,4.8,4.4,3.5,4,5,4.5
Cabin Fever,2016,14,3.7,0,11,4,0.7,1.85,0,0.55,0.5,2,0,0.5
Cafe Society,2016,64,6.7,70,58,3.5,3.2,3.35,3.5,2.9,3,3.5,3.5,3
Captain America: Civil War,2016,75,7.9,90,89,4.5,3.75,3.95,4.5,4.45,4,4,4.5,4.5
Captain Fantastic,2016,72,7.9,83,85,4,3.6,3.95,4.15,4.25,3.5,4,4,4
Cell,2016,38,4.3,11,16,3,1.9,2.15,0.55,0.8,2,2,0.5,1
Central Intelligence,2016,52,6.3,69,61,4.5,2.6,3.15,3.45,3.05,2.5,3,3.5,3
Collateral Beauty,2016,23,6.7,12,66,4,1.15,3.35,0.6,3.3,1,3.5,0.5,3.5
Collide,2016,33,5.7,19,39,3.5,1.65,2.85,0.95,1.95,1.5,3,1,2
Come and Find Me,2016,46,5.7,67,31,4,2.3,2.85,3.35,1.55,2.5,3,3.5,1.5
Criminal,2016,37,6.3,30,48,4,1.85,3.15,1.5,2.4,2,3,1.5,2.5
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,47,6.1,19,38,4,2.35,3.05,0.95,1.9,2.5,3,1,2
Deadpool,2016,65,8.1,84,90,4.5,3.25,4.05,4.2,4.5,3,4,4,4.5
Deepwater Horizon,2016,68,7.2,84,83,4.5,3.4,3.6,4.2,4.15,3.5,3.5,4,4
Dirty Grandpa,2016,18,6,11,45,3.5,0.9,3,0.55,2.25,1,3,0.5,2
Doctor Strange,2016,72,7.7,90,87,4.5,3.6,3.85,4.5,4.35,3.5,4,4.5,4.5
