Name,Team,Pos,Height,Weight,BMI,Birth_Place,Birthdate,Age,College,Experience,Games Played,MIN,FGM,FGA,FG%,15:00,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PTS,DD2,TD3
Aerial Powers,DAL,F,183,71,21.20099137,US,"January 17, 1994",23,Michigan State,2,8,173,30,85,35.3,12,32,37.5,21,26,80.8,6,22,28,12,3,6,12,93,0,0
Alana Beard,LA,G/F,185,73,21.32943755,US,"May 14, 1982",35,Duke,12,30,947,90,177,50.8,5,18,27.8,32,41,78.0,19,82,101,72,63,13,40,217,0,0
Alex Bentley,CON,G,170,69,23.87543253,US,"October 27, 1990",26,Penn State,4,26,617,82,218,37.6,19,64,29.7,35,42,83.3,4,36,40,78,22,3,24,218,0,0
Alex Montgomery,SAN,G/F,185,84,24.54346238,US,"December 11, 1988",28,Georgia Tech,6,31,721,75,195,38.5,21,68,30.9,17,21,81.0,35,134,169,65,20,10,38,188,2,0
Alexis Jones,MIN,G,175,78,25.46938776,US,"August 5, 1994",23,Baylor,R,24,137,16,50,32.0,7,20,35.0,11,12,91.7,3,9,12,12,7,0,14,50,0,0
Alexis Peterson,SEA,G,170,63,21.79930796,US,"June 20, 1995",22,Syracuse,R,14,90,9,34,26.5,2,9,22.2,6,6,100,3,13,16,11,5,0,11,26,0,0
Alexis Prince,PHO,G,188,81,22.91760978,US,"February 5, 1994",23,Baylor,R,16,112,9,34,26.5,4,15,26.7,2,2,100,1,14,15,5,4,3,3,24,0,0
Allie Quigley,CHI,G,178,64,20.19946976,US,"June 20, 1986",31,DePaul,8,26,847,166,319,52.0,70,150,46.7,40,46,87.0,9,83,92,95,20,13,59,442,0,0
Allisha Gray,DAL,G,185,76,22.20598977,US,"October 20, 1992",24,South Carolina,2,30,834,131,346,37.9,29,103,28.2,104,129,80.6,52,75,127,40,47,19,37,395,0,0
Allison Hightower,WAS,G,178,77,24.30248706,US,"June 4, 1988",29,LSU,5,7,103,14,38,36.8,2,11,18.2,6,6,100,3,7,10,10,5,0,2,36,0,0
Alysha Clark,SEA,F,180,76,23.45679012,US,"July 7, 1987",30,Middle Tennessee,6,30,843,93,183,50.8,20,62,32.3,38,51,74.5,29,97,126,50,22,4,32,244,0,0
Alyssa Thomas,CON,F,188,84,23.76641014,US,"December 4, 1992",24,Maryland,3,28,833,154,303,50.8,0,3,0.0,91,158,57.6,34,158,192,136,48,11,87,399,4,0
Amanda Zahui B.,NY,C,196,113,29.41482716,SE,"August 9, 1993",24,Minnesota,3,25,133,20,53,37.7,2,8,25.0,9,12,75.0,5,18,23,7,4,5,12,51,0,0
Amber Harris,CHI,F,196,88,22.90712203,US,"January 16, 1988",29,Xavier,3,22,146,18,44,40.9,0,10,0.0,5,8,62.5,12,28,40,5,3,9,6,41,0,0
Aneika Henry,ATL,F/C,193,87,23.35633171,JM,"February 13, 1986",31,Florida,6,4,22,4,4,100,0,0,0.0,0,0,0.0,0,4,4,1,2,0,3,8,0,0
Angel Robinson,PHO,F/C,198,88,22.44668911,US,"August 30, 1995",21,Arizona State,1,15,237,25,44,56.8,1,1,100,7,7,100,16,42,58,8,1,11,16,58,0,0
Asia Taylor,WAS,F,185,76,22.20598977,US,"August 22, 1991",26,Louisville,3,20,128,10,31,32.3,0,0,0.0,11,18,61.1,16,21,37,9,5,2,10,31,0,0
Bashaara Graves,CHI,F,188,91,25.74694432,US,"March 17, 1994",23,Tennessee,1,5,59,8,14,57.1,0,0,0.0,3,4,75.0,4,13,17,3,0,1,3,19,0,0
Breanna Lewis,DAL,C,196,93,24.20866306,US,"June 22, 1994",23,Kansas State,R,12,50,2,12,16.7,0,0,0.0,3,4,75.0,2,7,9,2,0,0,7,7,0,0
Breanna Stewart,SEA,F/C,193,77,20.67169588,US,"August 27, 1994",22,Connecticut,2,29,952,201,417,48.2,46,123,37.4,136,171,79.5,43,206,249,78,29,47,68,584,8,0
Bria Hartley,NY,G,173,66,22.05219018,US,"September 30, 1992",24,Connecticut,4,29,598,80,192,41.7,32,93,34.4,25,33,75.8,7,50,57,58,15,5,44,217,0,0
