PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,BONUS NUMBER
649,1,0,6/12/1982,3,11,12,14,41,43,13
649,2,0,6/19/1982,8,33,36,37,39,41,9
649,3,0,6/26/1982,1,6,23,24,27,39,34
649,4,0,7/3/1982,3,9,10,13,20,43,34
649,5,0,7/10/1982,5,14,21,31,34,47,45
649,6,0,7/17/1982,8,20,21,25,31,41,33
649,7,0,7/24/1982,18,25,28,33,36,42,7
649,8,0,7/31/1982,7,16,17,31,40,48,26
649,9,0,8/7/1982,5,10,23,27,37,38,33
649,10,0,8/14/1982,4,15,30,37,46,48,3
649,11,0,8/21/1982,7,9,21,33,38,42,45
649,12,0,8/28/1982,11,17,19,20,36,43,9
649,13,0,9/4/1982,7,14,17,20,37,47,34
649,14,0,9/11/1982,25,28,29,30,35,44,3
649,15,0,9/18/1982,8,18,36,39,41,47,31
649,16,0,9/25/1982,9,12,13,14,44,48,18
649,17,0,10/2/1982,4,14,18,40,43,44,5
649,18,0,10/9/1982,13,16,18,34,35,36,26
649,19,0,10/16/1982,11,23,25,28,29,36,27
649,20,0,10/23/1982,7,18,23,25,37,45,39
649,21,0,10/30/1982,11,18,19,31,37,45,41
649,22,0,11/6/1982,8,14,16,18,31,48,45
649,23,0,11/13/1982,4,11,23,24,25,45,41
649,24,0,11/20/1982,3,4,19,33,34,48,39
649,25,0,11/27/1982,5,17,21,28,30,43,36
649,26,0,12/4/1982,6,17,24,36,38,46,29
649,27,0,12/11/1982,4,9,10,11,43,46,3
649,28,0,12/18/1982,7,13,23,32,33,45,36
649,29,0,12/25/1982,11,18,22,28,35,37,42
649,30,0,1/1/1983,25,26,31,35,45,48,12
649,31,0,1/8/1983,11,19,25,31,32,36,44
649,32,0,1/15/1983,8,34,37,39,41,47,18
649,33,0,1/22/1983,5,10,30,35,36,45,13
649,34,0,1/29/1983,8,22,26,27,34,42,14
649,35,0,2/5/1983,3,5,6,33,38,39,8
649,36,0,2/12/1983,10,14,25,31,44,47,17
649,37,0,2/19/1983,11,13,15,16,24,31,9
649,38,0,2/26/1983,11,12,19,25,29,44,48
649,39,0,3/5/1983,2,7,21,22,30,33,3
649,40,0,3/12/1983,11,15,25,38,41,43,37
649,41,0,3/19/1983,2,10,11,31,43,49,29
649,42,0,3/26/1983,21,24,25,32,39,49,40
649,43,0,4/2/1983,4,10,23,38,41,46,43
649,44,0,4/9/1983,20,24,28,35,42,46,27
649,45,0,4/16/1983,1,3,19,31,32,47,37
649,46,0,4/23/1983,3,17,20,30,35,48,26
649,47,0,4/30/1983,18,26,29,35,36,49,25
649,48,0,5/7/1983,2,13,41,42,44,47,12
649,49,0,5/14/1983,7,10,11,16,28,40,6
649,50,0,5/21/1983,6,7,10,32,36,38,46
