last_name,first_name,birthday,gender,type,state,party
Bassett,Richard,1745-04-02,M,sen,DE,Anti-Administration
Bland,Theodorick,1742-03-21,,rep,VA,
Burke,Aedanus,1743-06-16,,rep,SC,
Carroll,Daniel,1730-07-22,M,rep,MD,
Clymer,George,1739-03-16,M,rep,PA,
Contee,Benjamin,,M,rep,MD,
Dalton,Tristram,1738-05-28,,sen,MA,Pro-Administration
Elmer,Jonathan,1745-11-29,M,sen,NJ,Pro-Administration
Few,William,1748-06-08,M,sen,GA,Anti-Administration
Floyd,William,1734-12-17,M,rep,NY,
Gale,George,1756-06-03,M,rep,MD,
Grayson,William,,M,sen,VA,Anti-Administration
Grout,Jonathan,1737-07-23,M,rep,MA,
Hawkins,Benjamin,1754-08-15,M,sen,NC,Pro-Administration
Huntington,Benjamin,1736-04-19,M,rep,CT,
Izard,Ralph,,M,sen,SC,Pro-Administration
Johnson,William,1727-10-07,M,sen,CT,Pro-Administration
Johnston,Samuel,1733-12-15,M,sen,NC,Pro-Administration
Lee,Richard,1732-01-20,M,sen,VA,Anti-Administration
Maclay,William,1737-07-20,M,sen,PA,Anti-Administration
Mathews,George,1739-08-30,M,rep,GA,
Morris,Robert,1734-01-20,M,sen,PA,Pro-Administration
Partridge,George,1740-02-08,M,rep,MA,
Paterson,William,1745-12-24,M,sen,NJ,Pro-Administration
Smith,William,1728-04-12,M,rep,MD,
Stone,Michael,,M,rep,MD,
Van Rensselaer,Jeremiah,1738-08-27,M,rep,NY,
Wynkoop,Henry,1737-03-02,M,rep,PA,
Dickinson,Philemon,1739-04-05,,sen,NJ,Pro-Administration
Walker,John,1744-02-13,M,sen,VA,Pro-Administration
Ashe,John,,M,rep,NC,
Barnwell,Robert,1761-12-21,M,rep,SC,
Burr,Aaron,1756-02-06,M,sen,NY,Republican
Cabot,George,1752-12-03,M,sen,MA,Federalist
Carroll,Charles,1737-09-19,M,sen,MD,
Ellsworth,Oliver,1745-04-29,M,sen,CT,Federalist
Gerry,Elbridge,1744-07-17,,rep,MA,
Huger,Daniel,1742-02-20,M,rep,SC,
Jacobs,Israel,1726-06-09,,rep,PA,
Key,Philip,,M,rep,MD,
Read,George,1733-09-18,M,sen,DE,
