year,statement,,,
1997,"The FBI information included that al-Mairi's brother ""traveled to Afghanistan in 1997-1998 to train in Bin - Ladencamps.""",,,
1997,"The FBI information included that al-Mairi's brother ""traveled to Afghanistan in 1997-1998 to train in Bin - Ladencamps.""",,,
1997,"For example, on October 12, 2004, another CIA detainee explained how he met al-Kuwaiti at a guesthouse that was operated by Ibn Shaykh al-Libi and Abu Zubaydah in 1997.",,,
1997,"On October 16, 2001, an email from a CTC officer who had been tracking KSM since 1997, stated that although more proof was needed, ""I believe KSM may have been the mastermind behind the 9-11 attacks.",,,
1997,"For example, on October 12, 2004, another CIA detainee explained how he met al-Kuwaiti at a guesthouse that was operated by Ibn Shaykh al-Libi and Abu Zubaydah in 1997.",,,
1997,"On October 16, 2001, an email from a CTC officer who had been tracking KSM since 1997, stated that although more proof was needed, ""I believe KSM may have been the mastermind behind the 9-11 attacks.",,,
1998,"CIA Interrogators Disagree with CIA Headquarters About Al-Nashiri's Level of Cooperation; Interrogators Oppose Continued Use of the CIA's Enhanced Interrogation Techniques 'Abd al-Rahim al-Nashiri,^^- assessed by the CIA to be an al- Qa'ida ""terrorist operations planner"" who was ""intimately involved"" in planning both the USS Cole bombing and the 1998 East Africa U.S. Embassy bombings, was captured in the United ArabEmiratesinmid-October2002.-^^-^ Heprovidedinformationwhileinthecustodyofa foreign government, including on plotting in the Persian Gulf,^^""^ and was then rendered by the The email, which expressed concern that SWIGERT and DUNBAR would interfere with on-site psychologists, stated that, ""[a]lthough these guys believe that their way is the only way, there should be an effort to define roles and responsibilitie^efor^h^-arroganc^n^iarc^isi^volv^ntounpro^ contlic^ the field.""",,,
1998,"""^^''^ There was also CIA reporting in 1998 that KSM was ""very close"" to On June 12, 2001, it was reported that ""Khaled"" was actively recruiting people to travel outside Afghanistan, including to the United States where colleagues were reportedly already in the country to meet them, to carry out terrorist-related activities for UBL.",,,
1998,"'^^^ Prior to Abu Zubaydah's capture, the CIA considered Hassan Ghul a ""First Priority Raid Target,"" based on reporting that: 97470(281317ZMAR02)(""InNovember1998, [Muhammad] Atta, [Ramzi] Binalshibh, and [Said] Bahaji moved into the 54 Marienstrasse apartment in Hamburg that became the hub of the Hamburg cell."").",,,
1998,"• • • • 1759 (0213I9ZQCT04);HEADQUARTERSl|^Hm40023ZNOV05);| (171225Z NOV 04); (140915Z NOV 04); (06I620Z DEC 04); 2207(1113I9Z APR 05)I^^^Hl2210a^7Z APR05)~|^|H2535 (051805Z JUL05); ^ ^ • • ^ 9 (120857ZJUL05)n^^^|2830 (29I304Z AUG 05); 1890 (171225Z NOV 040r^^B^^^^893^00831Z NOV 04); CIA document entitled, ""Detainee Talking Points for ICRC Rebuttal, 12 April2007T||^BIB2210(141507Z APR 05); •^^••25^(051805Z JUL 05); 2210 (141507Z APR05)r^H|||[B225 (051805Z J U L 0 5 ) I ^ B | | 2830 (291304Z AUG 05); 1930 (061620Z DEC 2210 (141507Z APR 05) 2210(141507Z APR 05); 1691 (081609Z SEP04); 05); 2023 (151735Z JAN 05); (282019Z NOV 03) 1029 (291750Z JUN 06); 17I6(180742Z SEP 04); 2535 (051805ZJUL05); 1_716(180742Z SEP 04); 2515 (301946Z JUN 05); 1_142 (041358Z AUG 06); 3051 (301235Z SEP 05); 2830 (29i304Z AUG 1998 (020752Z JAN 1150 1543 (111600Z AUG04); 1029 (291750Z JUN 06) 1959 (111700Z DEC 04); 2038 (211558ZJAN05)^^^BPHIHi 1091 (031835Z NOV 03); 1266 (052309Z JAN 04); ^••••|^HT63?",,,
